0,0.000005
1,0.000005
2,0.000004
3,0.000004
4,0.000004
5,0.000004
6,0.000005
7,0.000005
8,0.000006
9,0.000006
10,0.000005
11,0.000007
12,0.000007
13,0.000008
14,0.000009
15,0.000009
16,0.000009
17,0.000011
18,0.000010
19,0.000012
20,0.000012
21,0.000015
22,0.000015
23,0.000014
24,0.000016
25,0.000021
26,0.000019
27,0.000018
28,0.000019
29,0.000022
30,0.000021
31,0.000022
32,0.000024
33,0.000026
34,0.000033
35,0.000031
36,0.000034
37,0.000033
38,0.000036
39,0.000038
40,0.000042
41,0.000039
42,0.000041
43,0.000046
44,0.000048
45,0.000046
46,0.000042
47,0.000047
48,0.000055
49,0.000061
50,0.000052
51,0.000055
52,0.000066
53,0.000062
54,0.000011
55,0.000015
56,0.000015
57,0.000014
58,0.000014
59,0.000017
60,0.000015
61,0.000016
62,0.000018
63,0.000018
64,0.000017
65,0.000018
66,0.000017
67,0.000018
68,0.000021
69,0.000020
70,0.000022
71,0.000022
72,0.000021
73,0.000022
74,0.000022
75,0.000023
76,0.000026
77,0.000024
78,0.000031
79,0.000036
80,0.000041
81,0.000040
82,0.000040
83,0.000030
84,0.000029
85,0.000030
86,0.000031
87,0.000033
88,0.000032
89,0.000033
90,0.000028
91,0.000032
92,0.000036
93,0.000037
94,0.000039
95,0.000048
96,0.000048
97,0.000065
98,0.000072
99,0.000071
0,0.000005
1,0.000004
2,0.000004
3,0.000005
4,0.000005
5,0.000005
6,0.000004
7,0.000004
8,0.000006
9,0.000006
10,0.000007
11,0.000007
12,0.000005
13,0.000007
14,0.000008
15,0.000009
16,0.000010
17,0.000010
18,0.000012
19,0.000014
20,0.000013
21,0.000015
22,0.000003
23,0.000003
24,0.000003
25,0.000003
26,0.000004
27,0.000004
28,0.000004
29,0.000005
30,0.000005
31,0.000004
32,0.000006
33,0.000006
34,0.000005
35,0.000006
36,0.000007
37,0.000008
38,0.000008
39,0.000009
40,0.000008
41,0.000009
42,0.000009
43,0.000009
44,0.000009
45,0.000010
46,0.000010
47,0.000039
48,0.000011
49,0.000011
50,0.000011
51,0.000011
52,0.000012
53,0.000013
54,0.000013
55,0.000015
56,0.000014
57,0.000016
58,0.000016
59,0.000014
60,0.000015
61,0.000014
62,0.000018
63,0.000019
64,0.000019
65,0.000018
66,0.000019
67,0.000021
68,0.000018
69,0.000020
70,0.000022
71,0.000023
72,0.000021
73,0.000021
74,0.000023
75,0.000023
76,0.000025
77,0.000027
78,0.000026
79,0.000027
80,0.000026
