-249.50;38.23;-249.59;38.02
-252.51;38.69;-252.60;38.48
-255.52;39.15;-255.61;38.93
-258.52;39.61;-258.60;39.39
-261.50;40.07;-261.59;39.85
-264.48;40.53;-264.57;40.30
-267.44;40.98;-267.53;40.75
-270.40;41.43;-270.49;41.20
-273.35;41.89;-273.44;41.65
-276.28;42.34;-276.37;42.10
-279.20;42.78;-279.29;42.54
-282.11;43.23;-282.20;42.98
-285.01;43.67;-285.10;43.43
-287.90;44.12;-287.99;43.87
-290.77;44.56;-290.86;44.30
-293.63;44.99;-293.72;44.74
-296.48;45.43;-296.57;45.17
-299.31;45.86;-299.40;45.60
-302.13;46.30;-302.22;46.03
-304.93;46.73;-305.03;46.46
-307.73;47.15;-307.82;46.89
-310.50;47.58;-310.60;47.31
-313.26;48.00;-313.36;47.73
-316.01;48.42;-316.11;48.15
-318.74;48.84;-318.84;48.57
-321.46;49.26;-321.56;48.98
-324.16;49.67;-324.26;49.39
-326.85;50.08;-326.94;49.80
-329.52;50.49;-329.61;50.21
-332.17;50.90;-332.27;50.61
-334.81;51.30;-334.91;51.01
-337.43;51.71;-337.53;51.41
-340.04;52.11;-340.13;51.81
-342.63;52.50;-342.72;52.20
-345.20;52.90;-345.30;52.60
-347.76;53.29;-347.85;52.98
-350.30;53.68;-350.40;53.37
-352.82;54.06;-352.92;53.76
-355.33;54.45;-355.43;54.14
-357.82;54.83;-357.92;54.52
-360.30;55.21;-360.40;54.90
-362.76;55.59;-362.86;55.27
-365.20;55.96;-365.30;55.64
-367.63;56.33;-367.73;56.01
-370.04;56.70;-370.14;56.38
-372.43;57.07;-372.53;56.74
-374.81;57.43;-374.91;57.11
-377.18;57.80;-377.28;57.47
-379.53;58.16;-379.62;57.82
-381.86;58.51;-381.96;58.18
-384.18;58.87;-384.28;58.53
-386.48;59.22;-386.58;58.88
-388.77;59.57;-388.87;59.23
-391.05;59.92;-391.15;59.58
-393.31;60.27;-393.41;59.92
-395.56;60.61;-395.66;60.27
-397.79;60.96;-397.89;60.61
-400.02;61.30;-400.12;60.95
-402.23;61.64;-402.33;61.28
-404.43;61.97;-404.53;61.62
-406.61;62.31;-406.71;61.95
-408.79;62.64;-408.89;62.28
-410.95;62.97;-411.05;62.61
-413.11;63.30;-413.21;62.94
-415.25;63.63;-415.35;63.27
-417.39;63.96;-417.49;63.59
-419.51;64.28;-419.61;63.92
-421.63;64.61;-421.73;64.24
-423.74;64.93;-423.84;64.56
-425.84;65.25;-425.95;64.88
-427.94;65.58;-428.04;65.20
-430.03;65.90;-430.13;65.52
-432.11;66.22;-432.22;65.83
-434.19;66.53;-434.29;66.15
-436.27;66.85;-436.37;66.47
-438.34;67.17;-438.44;66.78
-440.40;67.49;-440.50;67.10
-442.47;67.80;-442.57;67.41
-444.53;68.12;-444.63;67.73
-446.59;68.43;-446.69;68.04
-448.65;68.75;-448.75;68.35
-450.70;69.06;-450.80;68.67
-452.76;69.38;-452.86;68.98
-454.82;69.69;-454.92;69.29
-456.87;70.01;-456.98;69.61
-458.93;70.32;-459.04;69.92
-461.00;70.64;-461.10;70.23
-463.06;70.96;-463.16;70.55
-465.13;71.27;-465.23;70.86
-467.20;71.59;-467.30;71.18
-469.27;71.91;-469.37;71.49
-471.35;72.23;-471.45;71.81
-473.43;72.55;-473.53;72.13
-475.52;72.87;-475.62;72.45
-477.62;73.19;-477.72;72.77
-479.72;73.51;-479.82;73.09
-481.82;73.83;-481.92;73.41
-483.94;74.16;-484.04;73.73
-486.06;74.48;-486.16;74.05
-488.19;74.81;-488.29;74.38
-490.33;75.14;-490.43;74.70
-492.48;75.46;-492.58;75.03
-494.63;75.80;-494.73;75.36
-496.80;76.13;-496.90;75.69
-498.97;76.46;-499.07;76.02
-501.16;76.80;-501.26;76.35
-503.35;77.13;-503.46;76.69
-505.56;77.47;-505.66;77.02
-507.78;77.81;-507.88;77.36
-510.01;78.15;-510.11;77.70
-512.25;78.49;-512.35;78.04
-514.50;78.84;-514.60;78.38
-516.77;79.19;-516.87;78.73
-519.04;79.54;-519.14;79.08
-521.33;79.89;-521.44;79.42
-523.64;80.24;-523.74;79.78
-525.95;80.59;-526.05;80.13
-528.28;80.95;-528.38;80.48
-530.63;81.31;-530.73;80.84
-532.98;81.67;-533.09;81.20
-535.36;82.04;-535.46;81.56
-537.74;82.40;-537.84;81.92
-540.14;82.77;-540.24;82.29
-542.56;83.14;-542.66;82.66
-544.99;83.51;-545.09;83.03
-547.43;83.89;-547.54;83.40
-549.89;84.26;-550.00;83.77
-552.37;84.64;-552.47;84.15
-554.86;85.02;-554.96;84.53
-557.37;85.41;-557.47;84.91
-559.89;85.80;-559.99;85.30
-562.43;86.18;-562.53;85.68
-564.99;86.58;-565.09;86.07
-567.56;86.97;-567.66;86.47
-570.15;87.37;-570.25;86.86
-572.75;87.77;-572.85;87.26
-575.38;88.17;-575.48;87.66
-578.02;88.57;-578.12;88.06
-580.67;88.98;-580.77;88.46
-583.34;89.39;-583.44;88.87
-586.03;89.80;-586.14;89.28
-588.74;90.22;-588.84;89.69
-591.47;90.63;-591.57;90.11
-594.21;91.05;-594.31;90.52
-596.97;91.48;-597.07;90.95
-599.75;91.90;-599.85;91.37
-602.55;92.33;-602.65;91.79
